suite,bin,action,share,n,positive,success,reward,no_feasible
D03-II,21-30,A8,0.05724489795918367,1122,90,0.08021390374331551,0.22380491459230004,0.3083778966131907
D03-II,31-40,A1,0.09213859020310633,1928,115,0.05964730290456432,0.2075343817264206,0.0
D03-II,31-40,A2,0.12492234169653524,2614,221,0.08454475899005356,0.33196088028520354,0.0
D03-II,31-40,A3,0.09333333333333334,1953,80,0.0409626216077829,0.1153637644035936,0.0
D03-II,31-40,A4,0.08826762246117084,1847,132,0.07146724417975095,0.19747321332509454,0.009204114780725501
D03-II,31-40,A5,0.017921146953405017,375,3,0.008,-0.781109344504887,0.8106666666666666
D03-II,31-40,A6,0.05706093189964158,1194,2,0.0016750418760469012,0.00401619687809157,0.0
D03-II,31-40,A7,0.4899880525686977,10253,3303,0.32214961474690335,0.6816705632283191,0.0
D03-II,31-40,A8,0.03636798088410992,761,54,0.07095926412614981,0.14956024215084515,0.34822601839684625
D03-II,41-50,A1,0.09720460418134837,2069,124,0.059932334461092314,0.17228112199682738,0.0
D03-II,41-50,A2,0.1295278365045807,2757,189,0.06855277475516866,0.28206369122489977,0.0
D03-II,41-50,A3,0.08508339206013625,1811,76,0.041965764770844835,0.13957634108561146,0.0
D03-II,41-50,A4,0.07014329339910735,1493,79,0.05291359678499665,0.1407672177635242,0.006697923643670462
D03-II,41-50,A5,0.011463471928588207,244,3,0.012295081967213115,-0.7814574320811396,0.7991803278688525
D03-II,41-50,A6,0.04904862579281184,1044,4,0.0038314176245210726,0.004438481380711204,0.0
D03-II,41-50,A7,0.538642236316655,11465,3279,0.28600087221979936,0.6142794034691826,0.0
D03-II,41-50,A8,0.018886539816772376,402,18,0.04477611940298507,-0.03954755774338121,0.34328358208955223
