suite,state,action,n,positive,success,reward,no_feasible
D03-I,34,A6,1364,93,0.06818181818181818,0.5181983701180288,0.0
D03-I,34,A7,2254,580,0.2573203194321207,1.2545490558155348,0.07630878438331855
D03-I,34,A8,616,45,0.07305194805194805,0.08008080855667421,0.5292207792207793
D03-I,35,A1,3717,354,0.09523809523809523,0.3557084945395102,0.0
D03-I,35,A2,4202,377,0.08971918134221799,0.41078550960116667,0.0
D03-I,35,A3,2191,17,0.007759014148790507,0.028866348876404692,0.0
D03-I,35,A4,3538,220,0.06218202374222725,0.18685772692495964,0.008762012436404749
D03-I,35,A5,1084,100,0.09225092250922509,-0.003960630316563419,0.22601476014760147
D03-I,35,A6,1940,12,0.006185567010309278,0.03810968913442372,0.0
D03-I,35,A7,3376,482,0.14277251184834122,0.8472299151731119,0.0485781990521327
D03-I,35,A8,460,14,0.030434782608695653,-0.4620915265037291,0.7456521739130435
D03-I,36,A1,940,207,0.22021276595744682,1.5245193303155908,0.0
D03-I,36,A2,467,66,0.14132762312633834,0.8328714369373211,0.0
D03-I,36,A3,364,37,0.10164835164835165,0.8293422246933979,0.0
D03-I,36,A4,564,76,0.1347517730496454,0.7498773350835278,0.0
D03-I,36,A5,133,0,0.0,-0.7969924812030075,0.7969924812030075
D03-I,36,A6,326,14,0.04294478527607362,0.37616851431531656,0.0
D03-I,36,A7,1155,375,0.3246753246753247,1.5148359843903954,0.07705627705627706
D03-I,36,A8,151,21,0.1390728476821192,0.3820026855273946,0.7218543046357616
D03-I,37,A1,748,96,0.12834224598930483,0.8125180331891447,0.0
D03-I,37,A2,488,53,0.10860655737704918,0.6654352101894958,0.0
D03-I,37,A3,321,19,0.059190031152647975,0.31278056450155395,0.0
D03-I,37,A4,639,30,0.046948356807511735,0.2704867349438036,0.0
D03-I,37,A5,86,2,0.023255813953488372,-0.6704739998342215,0.8255813953488372
D03-I,37,A6,333,1,0.003003003003003003,0.03003003003003003,0.0
D03-I,37,A7,1008,198,0.19642857142857142,1.1059614365028816,0.051587301587301584
D03-I,37,A8,105,5,0.047619047619047616,-0.29866821348255485,0.7142857142857143
D03-I,38,A1,485,129,0.26597938144329897,0.7792968037616829,0.0
D03-I,38,A2,376,183,0.4867021276595745,3.1967258973270187,0.0
D03-I,38,A3,194,25,0.12886597938144329,0.950573873340794,0.0
D03-I,38,A4,200,34,0.17,0.3481418183149657,0.125
D03-I,38,A5,254,31,0.1220472440944882,0.14870795163986045,0.13385826771653545
D03-I,38,A6,222,59,0.26576576576576577,2.24636389439729,0.0
D03-I,38,A7,346,136,0.3930635838150289,2.4581415018774257,0.06358381502890173
D03-I,38,A8,110,11,0.1,0.5359379564691298,0.32727272727272727
D03-I,39,A1,542,87,0.16051660516605165,0.332803900272981,0.0
D03-I,39,A2,310,55,0.1774193548387097,0.7970137594533485,0.0
D03-I,39,A3,162,2,0.012345679012345678,0.055181520087711745,0.0
D03-I,39,A4,299,19,0.06354515050167224,0.11502842926605762,0.03678929765886288
D03-I,39,A5,265,18,0.06792452830188679,0.0976371379046693,0.033962264150943396
D03-I,39,A6,154,4,0.025974025974025976,0.22516575827211713,0.0
D03-I,39,A7,213,44,0.20657276995305165,1.3575165228449038,0.17370892018779344
D03-I,39,A8,92,11,0.11956521739130435,0.471130991377044,0.5978260869565217
D03-I,40,A1,64,17,0.265625,1.5845271425788938,0.0
D03-I,40,A2,81,48,0.5925925925925926,4.460847782159257,0.0
D03-I,40,A3,25,8,0.32,2.045651545746359,0.0
D03-I,40,A4,11,0,0.0,-1.0,1.0
D03-I,40,A5,15,0,0.0,-1.0,1.0
D03-I,40,A6,59,19,0.3220338983050847,2.9510162520903562,0.0
D03-I,40,A7,80,30,0.375,2.7083731159460305,0.0
D03-I,40,A8,17,3,0.17647058823529413,1.7647058823529411,0.0
D03-I,41,A1,14,3,0.21428571428571427,0.4893248368273809,0.0
D03-I,41,A2,3,2,0.6666666666666666,4.570185034831283,0.0
D03-I,41,A3,16,1,0.0625,0.625,0.0
D03-I,41,A4,1,0,0.0,-1.0,1.0
D03-I,41,A5,4,0,0.0,-1.0,1.0
D03-I,41,A6,2,0,0.0,0.0,0.0
D03-I,41,A7,17,9,0.5294117647058824,2.744438045951563,0.0
D03-I,41,A8,3,0,0.0,0.0,0.0
D03-II,6,A1,435,92,0.21149425287356322,0.8670029717260788,0.0
