suite,generation,condition,n,total,share
D03-II,32,Compressible,0,2015,0.0
D03-II,33,Normal,0,2010,0.0
D03-II,33,Resource,0,2010,0.0
D03-II,33,KV,0,2010,0.0
D03-II,33,Region,292,2010,0.14527363184079603
D03-II,33,TOU,1718,2010,0.854726368159204
D03-II,33,Demand,0,2010,0.0
D03-II,33,Compressible,0,2010,0.0
D03-II,34,Normal,0,2285,0.0
D03-II,34,Resource,0,2285,0.0
D03-II,34,KV,0,2285,0.0
D03-II,34,Region,360,2285,0.1575492341356674
D03-II,34,TOU,1925,2285,0.8424507658643327
D03-II,34,Demand,0,2285,0.0
D03-II,34,Compressible,0,2285,0.0
D03-II,35,Normal,0,2215,0.0
D03-II,35,Resource,0,2215,0.0
D03-II,35,KV,0,2215,0.0
