suite,condition,action,n,positive_share,mean_reward,zero_feasible_share,zero_proposal_share,accepted_share,accepted_n,accepted_bill_decrease_share,accepted_flow_decrease_share,accepted_flow_increase_share,accepted_mean_delta_flow,accepted_mean_delta_bill
D03-II,Compressible,A5,1,0.0,-1.0,1.0,1.0,0.0,0,,,,,
D03-II,Compressible,A8,1,0.0,0.0,0.0,0.0,0.0,0,,,,,
D03-II,Demand,A1,81,0.5432098765432098,2.6622114346566073,0.0,0.0,0.5432098765432098,44,0.8181818181818182,0.7045454545454546,0.1590909090909091,-306.8181818181818,-22.97727272727277
D03-II,Demand,A2,110,0.6454545454545455,2.9957386814806792,0.0,0.0,0.6454545454545455,71,0.8169014084507042,0.7887323943661971,0.09859154929577464,-965.0704225352113,-20.001126760563327
D03-II,Demand,A3,94,0.3723404255319149,2.1405418597684998,0.0,0.0,0.3723404255319149,35,0.8857142857142857,0.4,0.2857142857142857,-102.85714285714286,-59.38285714285712
D03-II,Demand,A4,59,0.3220338983050847,1.3429051861274959,0.01694915254237288,0.01694915254237288,0.3220338983050847,19,0.8947368421052632,0.47368421052631576,0.47368421052631576,306.3157894736842,-29.996842105263138
D03-II,Demand,A5,27,0.07407407407407407,-0.7737300823092137,0.8148148148148148,0.8148148148148148,0.07407407407407407,2,1.0,0.5,0.5,240.0,-3.4200000000000728
D03-II,Demand,A6,37,0.35135135135135137,2.664108891587714,0.0,0.0,0.35135135135135137,13,0.8461538461538461,0.6153846153846154,0.3076923076923077,-480.0,-160.12384615384627
D03-II,Demand,A7,80,0.5125,1.8430884906708414,0.0,0.0,0.5125,41,1.0,0.0,0.9024390243902439,343.9024390243902,-42.74048780487809
D03-II,Demand,A8,44,0.4318181818181818,2.796439193436744,0.11363636363636363,0.11363636363636363,0.4318181818181818,19,1.0,0.0,1.0,1218.9473684210527,-102.0221052631578
D03-II,Region,A1,1912,0.14853556485355648,0.6325884731263057,0.0,0.0,0.14853556485355648,284,0.7183098591549296,0.6408450704225352,0.31338028169014087,-319.22535211267603,-4.455000000000001
D03-II,Region,A2,2385,0.20083857442348008,1.0888192185206067,0.0,0.0,0.20083857442348008,479,0.755741127348643,0.8037578288100209,0.07724425887265135,-676.0334029227557,-11.03035490605428
D03-II,Region,A3,1410,0.08936170212765958,0.48125240776068545,0.0,0.0,0.08936170212765958,126,0.8809523809523809,0.42857142857142855,0.25396825396825395,-192.85714285714286,-25.036904761904797
D03-II,Region,A4,1428,0.14145658263305322,0.5197916406688646,0.018207282913165267,0.018207282913165267,0.14145658263305322,202,0.7029702970297029,0.6683168316831684,0.31683168316831684,-323.61386138613864,-6.219950495049475
D03-II,Region,A5,420,0.04285714285714286,-0.6061213180481947,0.7523809523809524,0.7523809523809524,0.04285714285714286,18,0.7777777777777778,0.8888888888888888,0.1111111111111111,-540.0,2.9250000000000793
D03-II,Region,A6,1216,0.1356907894736842,0.9175916771094088,0.0,0.0,0.1356907894736842,165,0.8121212121212121,0.5818181818181818,0.3939393939393939,-254.1818181818182,-61.37490909090909
D03-II,Region,A7,6627,0.3352950052814245,0.9796258194273362,0.0,0.0,0.3352950052814245,2222,1.0,0.0,0.8802880288028803,386.017101710171,-11.449590459045893
D03-II,Region,A8,900,0.17777777777777778,1.0952250643144117,0.27444444444444444,0.27444444444444444,0.17777777777777778,160,1.0,0.00625,0.95,1846.03125,-70.403625
D03-II,TOU,A1,9021,0.20053209178583306,0.8368422017221392,0.0,0.0,0.20053209178583306,1809,0.6379215035931454,0.6727473742399116,0.25483692647871753,-288.6898839137645,-6.829458264234389
D03-II,TOU,A2,12139,0.2308262624598402,1.0690275509955867,0.0,0.0,0.2308262624598402,2802,0.7119914346895075,0.7533904354032833,0.11884368308351177,-536.7612419700214,-4.541049250535326
D03-II,TOU,A3,7573,0.14181962234253268,0.5025963522535086,0.0,0.0,0.14181962234253268,1074,0.8556797020484171,0.34916201117318435,0.33426443202979517,-31.899441340782122,-12.675689013035374
D03-II,TOU,A4,6569,0.12833003501293958,0.3977118037263339,0.011265032729486984,0.011265032729486984,0.12833003501293958,843,0.6880189798339265,0.5954922894424673,0.3831553973902728,-119.644128113879,-6.893131672597856
D03-II,TOU,A5,1973,0.02027369488089204,-0.7282798041064332,0.7962493664470349,0.7962493664470349,0.02027369488089204,40,0.65,0.775,0.175,-501.0,-5.724750000000006
D03-II,TOU,A6,5069,0.06490432037877293,0.4468917705998613,0.0,0.0,0.06490432037877293,329,0.8632218844984803,0.47720364741641336,0.5045592705167173,267.629179331307,-70.73379939209727
D03-II,TOU,A7,31763,0.3695494758051821,0.9658444729471891,0.0,0.0,0.3695494758051821,11738,1.0,0.0005111603339580849,0.856023172601806,414.14721417617994,-11.503683762140062
D03-II,TOU,A8,4108,0.13485881207400194,0.766533279974903,0.27531645569620256,0.27531645569620256,0.13485881207400194,554,1.0,0.007220216606498195,0.9548736462093863,1302.6714801444043,-60.399643501805045
